Lat,Lon
37.99356,-96.74653
37.66396,-93.17217
39.03479,-93.18987
39.91673,-93.73772
37.15029,-96.61326
38.13664,-92.39984
38.35663,-92.59484
39.28766,-93.40137
38.68012,-93.65633
38.79015,-94.71956
38.94759,-94.61708
37.59491,-93.76563
39.01109,-97.0743
38.44264,-93.16543
37.92926,-93.84421
37.12505,-95.91064
39.28537,-93.50607
37.48657,-96.64898
39.76043,-95.09289
37.60995,-94.45536
39.29954,-96.9673
38.11408,-95.0929
38.21066,-94.51016
38.25928,-95.03342
38.31708,-92.43211
38.60293,-96.3614
39.34854,-96.79454
38.27748,-95.134
38.10054,-93.6966
38.57329,-93.81128
38.01729,-96.04876
37.4003,-94.50679
38.26128,-93.41108
39.87535,-94.53813
39.52045,-96.52564
38.73612,-94.58029
38.77423,-94.41767
39.01808,-95.1416
38.99016,-97.27903
38.94716,-93.59277
38.25541,-94.77992
39.29919,-96.58426
38.16084,-92.48139
39.55571,-92.885
38.3499,-96.64127
39.5465,-97.46805
39.02086,-91.91976
38.91066,-93.05397
38.32784,-95.299
38.13083,-94.3026
38.5648,-94.43186
38.59935,-95.41691
39.23618,-94.13047
39.16058,-94.5897
37.61907,-95.79409
38.83992,-94.48472
38.7038,-94.75818
38.01825,-94.29805
38.46349,-91.82304
38.63944,-94.39413
38.74768,-94.0907
39.14887,-95.55257
38.2214,-95.20226
37.75278,-96.49771
38.67775,-93.62579
38.26066,-95.11245
39.2412,-95.29608
38.22755,-94.56101
38.44807,-93.15276
38.34799,-91.46223
38.44166,-94.96213
39.57019,-94.76606
38.05208,-95.24063
37.69687,-93.58995
39.34388,-94.12431
38.81828,-95.47041
38.80948,-92.64878
38.28302,-95.27688
38.26254,-94.61786
38.55447,-96.4209
38.14235,-93.04695
39.72275,-92.47275
37.37895,-94.06837
38.1469,-96.87151
38.68842,-97.18115
38.68682,-97.08088
39.16873,-94.31638
38.25147,-92.80433
39.34878,-91.87233
37.9374,-95.22739
38.90665,-95.64923
38.36104,-92.20305
38.11802,-92.98444
38.39827,-95.83869
38.72138,-95.352
39.43667,-95.57799
38.29424,-96.74861
37.91843,-95.10148
39.92271,-93.33918
38.90619,-95.69209
38.41669,-93.58028
38.63936,-95.62943
38.574,-95.37882
39.06511,-92.68695
39.52865,-93.77575
38.62595,-93.41091
38.03243,-95.67084
39.66513,-94.55815
38.11323,-95.22519
39.67129,-94.36174
38.92978,-95.79127
37.22534,-95.67917
38.29974,-96.5286
37.93562,-94.55749
39.81627,-96.2641
39.35129,-94.32292
38.18828,-96.15143
38.32934,-92.96922
38.94031,-96.77249
38.59716,-92.88039
38.89024,-93.5068
38.30052,-95.27714
38.88665,-93.77101
38.15598,-96.22535
38.63225,-92.10073
39.93679,-97.08629
38.54567,-94.01074
37.91336,-93.92451
38.02147,-92.62745
39.04198,-96.11844
38.13639,-94.23871
38.64956,-94.24228
39.81959,-97.15109
38.09761,-93.70453
38.75598,-94.58378
38.92532,-97.63939
37.82338,-94.76091
39.26925,-93.15174
38.17832,-95.89023
38.93646,-91.71451
39.69949,-95.33645
38.86816,-93.80951
37.37431,-96.0112
39.37249,-95.2882
38.8709,-94.30948
37.92812,-95.40869
38.47653,-94.82336
39.06422,-92.07831
38.80302,-94.55943
37.80776,-93.99804
39.66104,-91.47475
38.95584,-91.66613
38.78679,-92.82907
38.47848,-94.55227
39.16881,-97.62741
38.18628,-95.20243
38.06664,-93.79698
38.40814,-97.07594
37.43959,-94.20656
37.31521,-95.05268
37.91085,-94.19385
38.70069,-95.27726
39.08068,-95.41798
37.47882,-95.83061
38.47208,-93.09897
38.40184,-93.63625
39.14356,-97.04543
38.51047,-93.51936
38.53555,-95.30388
38.63098,-94.44119
37.43068,-93.78969
38.3114,-94.62948
39.50274,-97.37981
37.94949,-92.1179
38.30532,-93.16105
39.50671,-94.59286
37.70806,-93.33564
39.62561,-92.92576
39.22714,-93.68689
38.67161,-93.84199
37.91636,-96.50303
38.20599,-95.8449
38.98594,-91.44613
38.66329,-95.27367
39.09869,-95.53562
37.5541,-94.72873
37.3564,-96.69227
38.34348,-95.04631
38.8342,-95.15878
37.76564,-97.04593
39.14654,-91.57661
38.72676,-94.41025
37.43572,-93.05683
38.6212,-93.28628
38.8623,-96.23358
37.83998,-95.52012
38.64659,-94.53435
37.48612,-94.85443
37.96114,-95.73974
38.32774,-94.92857
38.50668,-93.33829
37.81792,-94.02585
37.91722,-93.20817
38.58925,-97.21051
38.23486,-95.77765
38.69139,-95.2892
